iter	Logloss
0	0.6730316603
1	0.6582931888
2	0.6413373621
3	0.6267884176
4	0.6150337551
5	0.5988569333
6	0.5860830158
7	0.573470977
8	0.5616034197
9	0.5507407478
10	0.5388118757
11	0.5264274052
12	0.5191432828
13	0.5104236269
14	0.5016787945
15	0.4954697178
16	0.4896571557
17	0.4808284455
18	0.4723730628
19	0.4656953133
20	0.4613140767
21	0.4536779081
22	0.4488596944
23	0.4438187678
24	0.4371742616
25	0.4327706869
26	0.4274522181
27	0.421470534
28	0.4160824743
29	0.411652075
30	0.4073682256
31	0.4012052903
32	0.3970893737
33	0.3908936159
34	0.3868677211
35	0.3836666067
36	0.3799968907
37	0.3768569448
38	0.372655389
39	0.3691777938
40	0.365593912
41	0.361692116
42	0.3580471575
43	0.3556024429
44	0.3520437696
45	0.3493384647
46	0.3456438703
47	0.3432384889
48	0.3400848997
49	0.3353309409
50	0.3333734703
51	0.3299440173
52	0.3279711088
53	0.3252567111
54	0.3233229947
55	0.3206789718
56	0.31808689
57	0.3160874982
58	0.3140489042
59	0.3127123601
60	0.3109794879
61	0.308199337
62	0.3058535474
63	0.3034111417
64	0.3007186274
65	0.2988902248
66	0.2974293115
67	0.2951830379
68	0.2917267461
69	0.2903606661
70	0.2882470536
71	0.2863626719
72	0.2847011233
73	0.2830881427
74	0.280516288
75	0.2788446765
76	0.276150516
77	0.2749231072
78	0.2733596891
79	0.2722927484
80	0.2709836252
81	0.2698701283
82	0.2683075501
83	0.2669109497
84	0.2647335834
85	0.2634292877
86	0.2621910616
87	0.2605137919
88	0.259473976
89	0.2585352495
90	0.2569048551
91	0.2560202268
92	0.2543658881
93	0.2517454515
94	0.2506967284
95	0.2494585465
96	0.2473778763
97	0.2461214368
98	0.2449923334
99	0.2443683314
100	0.2436926289
101	0.2431051078
102	0.2418183821
103	0.2409622351
104	0.2403718385
105	0.2383218002
106	0.2374950904
107	0.2355807704
108	0.2347997024
109	0.2339093516
110	0.2323558191
111	0.2311309815
112	0.2300307174
113	0.2292299192
114	0.2286090307
115	0.2266664768
116	0.2256469713
117	0.2250196608
118	0.2242045146
119	0.2233188156
120	0.2222563941
121	0.2217455363
122	0.2206488215
123	0.2184008888
124	0.2174792881
125	0.2155648135
126	0.2149141536
127	0.2132945315
128	0.2120564204
129	0.210240587
130	0.209102159
131	0.2083464287
132	0.2081745803
133	0.2075414739
134	0.2065361176
135	0.2056145067
136	0.2050038915
137	0.2043997969
138	0.2039071387
139	0.2022817786
140	0.2013155729
141	0.2001301011
142	0.1991370073
143	0.1982389434
144	0.197162095
145	0.1953998532
146	0.1943253572
147	0.1933228561
148	0.1923080392
149	0.1908673236
150	0.1900430674
151	0.1895706024
152	0.1885998367
153	0.1879383783
154	0.1872543664
155	0.1858131455
156	0.1847201331
157	0.1834392701
158	0.1827037289
159	0.1819669943
160	0.1814509594
161	0.180678271
162	0.1788436423
163	0.1780870325
164	0.1778216772
165	0.1774634649
166	0.17661129
167	0.175349715
168	0.1740265988
169	0.1731058448
170	0.1723177952
171	0.171599336
172	0.1704718886
173	0.1694360589
174	0.1688268592
175	0.1682590604
176	0.16737067
177	0.167194257
178	0.1666458435
179	0.1660139333
180	0.165271911
181	0.164359407
182	0.163520163
183	0.1627134584
184	0.1620158354
185	0.1615713435
186	0.1606614925
187	0.159724441
188	0.1590018541
189	0.1585645862
190	0.1578091497
191	0.1570802585
192	0.1561038516
193	0.1554806535
194	0.1540805797
195	0.1528199148
196	0.1519209299
197	0.1513104915
198	0.1508391446
199	0.1496335547
