iter	Passed	Remaining
0	163	32576
1	178	17647
2	185	12165
3	192	9439
4	199	7792
5	206	6680
6	211	5841
7	215	5181
8	219	4660
9	223	4246
10	227	3905
11	230	3610
12	233	3360
13	236	3144
14	240	2961
15	244	2806
16	247	2659
17	250	2527
18	253	2411
19	256	2312
20	260	2223
21	263	2135
22	267	2054
23	270	1983
24	276	1932
25	279	1868
26	282	1809
27	285	1753
28	289	1704
29	292	1658
30	295	1611
31	298	1568
32	301	1527
33	306	1495
34	309	1458
35	312	1422
36	315	1388
37	318	1356
38	321	1327
39	324	1299
40	328	1272
41	331	1245
42	334	1220
43	338	1199
44	341	1176
45	344	1153
46	347	1131
47	350	1110
48	355	1094
49	358	1075
50	361	1056
51	364	1038
52	367	1020
53	372	1006
54	375	990
55	378	973
56	381	957
57	385	943
58	389	930
59	392	915
60	395	900
61	398	886
62	402	876
63	406	863
64	409	849
65	412	837
66	415	824
67	419	815
68	423	803
69	424	788
70	427	777
71	430	765
72	434	756
73	437	745
74	440	734
75	443	724
76	446	714
77	450	704
78	453	694
79	456	685
80	459	675
81	462	666
82	467	658
83	470	649
84	473	640
85	476	631
86	479	622
87	483	615
88	486	606
89	489	598
90	492	590
91	495	582
92	500	575
93	503	567
94	506	559
95	509	551
96	512	544
97	517	538
98	520	530
99	523	523
100	526	515
101	529	508
102	533	502
103	537	495
104	540	488
105	543	481
106	547	475
107	550	469
108	553	462
109	556	454
110	559	448
111	562	442
112	566	435
113	569	429
114	572	422
115	575	416
116	578	410
117	582	404
118	584	398
119	588	392
120	591	385
121	594	380
122	598	374
123	601	368
124	604	362
125	607	356
126	611	351
127	614	345
128	617	339
129	620	334
130	623	328
131	627	323
132	629	316
133	632	311
134	635	305
135	638	300
136	641	295
137	645	290
138	648	284
139	651	279
140	654	273
141	657	268
142	661	263
143	664	258
144	667	253
145	670	248
146	674	243
147	678	238
148	681	233
149	684	228
150	687	223
151	690	218
152	694	213
153	697	208
154	700	203
155	703	198
156	706	193
157	710	188
158	713	183
159	716	179
160	719	174
161	723	169
162	726	164
163	729	160
164	732	155
165	735	150
166	739	146
167	742	141
168	745	136
169	748	132
170	751	127
171	755	123
172	759	118
173	762	113
174	765	109
175	768	104
176	772	100
177	776	95
178	779	91
179	782	86
180	785	82
181	791	78
182	794	73
183	797	69
184	800	64
185	804	60
186	807	56
187	810	51
188	813	47
189	816	42
190	820	38
191	823	34
192	826	29
193	830	25
194	833	21
195	836	17
196	839	12
197	842	8
198	845	4
199	849	0
