iter	Passed	Remaining
0	0	330
1	1	337
2	1	286
3	2	271
4	2	267
5	3	258
6	3	272
7	4	280
8	5	318
9	6	327
10	7	322
11	7	320
12	8	314
13	8	308
14	9	304
15	9	298
16	10	293
17	10	289
18	11	283
19	11	279
20	12	276
21	12	272
22	12	268
23	13	266
24	13	263
25	14	261
26	14	261
27	16	273
28	16	274
29	19	300
30	21	317
31	21	318
32	22	316
33	22	311
34	23	309
35	23	307
36	24	306
37	25	304
38	25	302
39	26	303
40	27	307
41	28	309
42	28	306
43	29	303
44	29	300
45	30	297
46	30	294
47	30	291
48	31	293
49	32	291
50	33	295
51	35	302
52	35	302
53	36	301
54	37	300
55	37	299
56	38	297
57	38	295
58	39	292
59	39	290
60	40	288
61	40	286
62	41	284
63	41	282
64	41	280
65	42	279
66	42	277
67	43	275
68	43	274
69	44	272
70	44	270
71	45	269
72	46	270
73	46	269
74	47	271
75	48	272
76	49	270
77	49	269
78	50	268
79	51	267
80	51	266
81	52	265
82	52	263
83	52	261
84	53	260
85	53	258
86	54	257
87	54	256
88	55	254
89	55	253
90	55	251
91	56	250
92	56	248
93	57	247
94	57	245
95	58	244
96	58	243
97	59	242
98	59	240
99	59	239
100	60	238
101	60	237
102	61	238
103	62	238
104	63	237
105	63	235
106	63	234
107	64	233
108	64	232
109	65	230
110	65	229
111	65	228
112	66	227
113	66	225
114	67	224
115	67	223
116	67	222
117	68	221
118	68	219
119	69	218
120	69	217
121	69	216
122	70	215
123	70	213
124	70	212
125	71	211
126	71	210
127	71	209
128	72	208
129	72	206
130	73	205
131	73	205
132	74	204
133	75	204
134	75	204
135	76	203
136	76	202
137	76	201
138	77	200
139	77	199
140	77	198
141	78	197
142	78	196
143	79	195
144	79	194
145	79	193
146	80	192
147	80	191
148	80	190
149	81	189
150	81	188
151	82	187
152	82	187
153	82	186
154	83	185
155	83	184
156	83	183
157	84	182
158	84	181
159	85	180
160	85	179
161	85	178
162	86	177
163	86	177
164	86	176
165	87	175
166	87	174
167	88	174
168	89	174
169	89	174
170	90	173
171	90	172
172	90	171
173	91	170
174	91	170
175	91	169
176	92	168
177	92	167
178	93	166
179	93	166
180	93	165
181	94	164
182	94	163
183	94	162
184	95	162
185	95	161
186	95	160
187	96	159
188	96	159
189	97	158
190	97	157
191	97	156
192	98	156
193	98	155
194	98	154
195	99	154
196	99	153
197	100	152
198	100	151
199	100	151
200	101	150
201	101	150
202	102	150
203	103	150
204	104	149
205	104	148
206	104	148
207	105	147
208	105	147
209	106	146
210	106	145
211	107	145
212	107	144
213	108	144
214	108	144
215	109	143
216	109	143
217	110	142
218	110	141
219	110	141
220	111	140
221	111	139
222	112	139
223	112	138
224	112	137
225	113	137
226	113	136
227	113	135
228	114	135
229	114	134
230	115	134
231	115	133
232	116	133
233	117	133
234	117	133
235	118	132
236	118	131
237	119	131
238	119	130
239	119	129
240	120	129
241	120	128
242	120	127
243	121	127
244	121	126
245	122	126
246	122	125
247	122	124
248	123	124
249	123	123
250	123	122
251	124	122
252	124	121
253	125	121
254	125	120
255	125	119
256	126	119
257	126	118
258	126	118
259	127	117
260	127	117
261	128	116
262	128	115
263	129	115
264	129	115
265	130	114
266	131	114
267	132	114
268	132	113
269	132	113
270	133	112
271	133	112
272	134	111
273	134	110
274	134	110
275	135	109
276	135	109
277	135	108
278	136	107
279	136	107
280	136	106
281	137	106
282	137	105
283	138	105
284	138	104
285	138	103
286	139	103
287	139	102
288	139	102
289	140	101
290	140	101
291	141	100
292	141	100
293	142	99
294	142	98
295	142	98
296	143	97
297	143	97
298	144	97
299	145	96
300	145	96
301	146	95
302	146	95
303	147	94
304	147	94
305	147	93
306	148	93
307	148	92
308	149	92
309	149	91
310	149	91
311	150	90
312	150	89
313	150	89
314	151	88
315	151	88
316	152	87
317	152	87
318	152	86
319	153	86
320	153	85
321	154	85
322	154	84
323	154	84
324	155	83
325	155	83
326	156	82
327	156	82
328	156	81
329	157	81
330	158	80
331	158	80
332	159	79
333	159	79
334	160	78
335	160	78
336	161	77
337	161	77
338	161	76
339	162	76
340	162	75
341	162	75
342	163	74
343	163	74
344	164	73
345	164	73
346	165	72
347	165	72
348	165	71
349	166	71
350	166	70
351	167	70
352	167	69
353	167	69
354	168	68
355	168	68
356	169	67
357	169	67
358	169	66
359	170	66
360	170	65
361	171	65
